SampleSize,Set,Memory_Percentage,Failure_Percentage
90,10,0.818182,0
90,10,0.863636,0
90,10,0.833333,0
90,10,0.875,0.0344828
90,10,0.852941,0.0333333
90,10,0.833333,0
90,10,0.833333,0
90,10,0.888889,0
90,10,0.83871,0
90,10,0.791667,0
90,10,0.888889,0.030303
90,11,0.631579,0.0769231
90,11,0.75,0
90,11,0.88,0.0434783
90,11,0.833333,0
90,11,0.787879,0
90,11,0.903226,0
90,11,0.75,0
90,11,0.846154,0
90,11,0.805556,0.0645161
90,11,0.931034,0
90,11,0.810811,0
90,11,0.72,0
90,11,0.84375,0.0357143
90,11,0.928571,0
90,11,0.925926,0
90,11,0.85,0
90,11,0.75,0
90,11,0.851852,0.0416667
90,11,0.842105,0
90,11,0.8125,0
90,11,NA,NA
90,11,0.75,0
90,11,0.868421,0
90,11,0.848485,0.0666667
90,11,0.857143,0
90,11,0.785714,0.0434783
90,11,0.742857,0.037037
90,11,0.705882,0
90,11,0.741935,0.08
90,11,0.571429,0
90,11,0.6,0
90,11,0.833333,0
90,11,0.794118,0.0357143
90,11,0.8,0.04
90,11,0.882353,0.0322581
90,11,0.636364,0
90,11,0.75,0.0454545
90,11,0.741935,0
90,11,0.894737,0
90,11,1,0
90,11,0.833333,0.0322581
90,11,0.777778,0
90,11,NA,NA
90,11,0.775,0.0606061
90,11,0.894737,0
90,11,0.705882,0.142857
90,11,0.857143,0.04
90,11,0.769231,0
90,11,0.8,0
90,11,0.736842,0
90,11,0.705882,0
90,11,0.8125,0
90,11,0.774194,0.2
90,11,0.875,0
90,11,0.787879,0.037037
90,11,0.76,0.05
90,11,0.878049,0.027027
90,11,0.9,0
90,11,0.736842,0
90,11,0.882353,0
90,11,0.923077,0
90,11,0.842105,0
90,11,0.85,0
90,11,1,0
90,11,0.73913,0
90,11,0.870968,0
90,11,0.846154,0
90,11,0.896552,0
90,11,0.761905,0.111111
90,11,0.722222,0
90,11,0.791667,0
90,11,0.777778,0.0344828
90,11,0.791667,0
90,11,0.791667,0
90,11,0.809524,0
90,11,0.775,0
90,11,0.333333,0
90,11,0.8125,0.0714286
90,11,0.862069,0
90,11,0.9,0
90,11,0.916667,0
90,11,0.842105,0
90,11,0.90625,0
90,11,0.814815,0.153846
90,11,0.833333,0
90,11,0.827586,0
90,11,0.857143,0
90,11,0.863636,0
90,11,0.846154,0
90,11,0.882353,0
90,12,0.827586,0
90,12,0.84375,0
90,12,0.709677,0
90,12,0.666667,0
90,12,0,NA
90,12,0.769231,0.047619
90,12,0.821429,0.148148
90,12,0.666667,0
90,12,0.894737,0
90,12,0.857143,0
90,12,0.8,0
90,12,0.794872,0
90,12,0.837838,0.03125
90,12,0.705882,0
90,12,0.875,0
90,12,0.689655,0.047619
90,12,0.842105,0
90,12,0.857143,0
90,12,0.578947,0
90,12,0.764706,0
90,12,0.882353,0.0322581
90,12,0.85,0
90,12,0.857143,0.04
90,12,0.866667,0
90,12,0.875,0
90,12,0.888889,0
90,12,0.826087,0
90,12,0.882353,0
90,12,0.814815,0
90,12,0.846154,0
90,12,0.6875,0
90,12,0.8125,0
90,12,0.894737,0
90,12,0.862069,0
90,12,0.861111,0
90,12,0.903226,0
90,12,0.837838,0.03125
90,12,0.888889,0
90,12,0.740741,0.047619
90,12,0.903226,0
90,12,0.848485,0.0344828
90,12,0.846154,0
90,12,0.882353,0
90,12,0.904762,0
90,12,0.761905,0
90,12,0.909091,0
90,12,0.805556,0
90,12,0.8,0
90,12,0.914286,0
90,12,0.837838,0
90,12,0.851852,0
90,12,1,0
90,12,0.861111,0
90,12,0.83871,0
90,12,0.78125,0
90,12,0.918919,0.0285714
90,12,0.772727,0
90,12,0.642857,0
90,12,0.848485,0
90,12,0.833333,0
90,12,0.904762,0
90,12,0.827586,0
90,12,0.823529,0
90,12,0.878788,0
90,12,0.875,0
90,12,0.892857,0
90,12,0.8125,0.0714286
90,12,0.73913,0
90,12,NA,NA
90,12,0.851852,0.0416667
90,12,0.851852,0
90,12,0.833333,0
90,12,0.772727,0
90,12,0.857143,0
90,12,0.842105,0
90,12,0.878788,0
90,12,0.866667,0.037037
90,12,0.9,0
90,12,0.733333,0.0833333
90,12,0.83871,0
90,12,0.727273,0.157895
90,12,0.857143,0
90,12,0.828571,0
90,12,1,0
90,12,0.820513,0
