"","fault","ClassPer"
"1075",2,86.8439
"1076",2,95.3255
"1077",3,100
"1078",2,97.0085
"1079",2,92.4567
"1080",1,99.7783
"1081",6,85.1678
"1082",2,92.6562
"1083",4,75.925
"1084",4,87.5892
"1085",2,97.9093
"1086",6,91.9042
"1087",2,97.0085
"1088",2,87.2376
"1089",2,92.3004
"1090",3,90.6192
"1091",4,86.8824
"1092",5,96.7011
"1093",5,99.3355
"1094",6,76.2548
"1095",4,100
"1096",5,99.3339
"1097",6,95.3231
"1098",5,100
"1099",5,99.6672
"1100",6,67.8786
"1101",1,100
"1102",6,93.026
"1103",2,78.4315
"1104",2,95.1233
"1105",4,99.8335
"1106",4,100
"1107",5,99.5012
"1108",2,80.729
"1109",4,100
"1110",2,98.4263
"1111",2,100
"1112",3,70.3988
"1113",6,95.349
"1114",3,97.13
"1115",6,96.6006
"1116",4,80.806
"1117",4,90.3238
"1118",2,94.9479
"1119",6,89.2594
"1120",3,74.1596
"1121",6,99.4875
"1122",2,77.7062
"1123",3,99.3174
"1124",3,99.6579
"1125",5,99.0005
"1126",6,100
"1127",4,99.8128
"1128",6,99.3174
"1129",6,68.4853
"1130",3,100
"1131",4,99.5001
"1132",2,98.9247
"1133",2,97.413
"1134",4,99.8335
"1135",4,98.6689
"1136",2,84.8392
"1137",1,89.0609
"1138",2,78.8744
"1139",6,83.9665
"1140",4,71.1837
"1141",6,94.7761
"1142",2,93.4445
"1143",6,96.6101
"1144",6,66.4841
"1145",3,81.6497
"1146",2,76.3715
"1147",4,97.6802
"1148",4,99.8335
"1149",3,92.0347
"1150",2,98.4013
"1151",2,86.3902
"1152",3,98.4673
"1153",4,71.3814
"1154",4,88.514
"1155",2,85.1067
"1156",2,99.4727
"1157",1,94.511
"1158",3,99.486
"1159",4,100
"1160",5,99.3355
"1161",2,82.1822
"1162",1,100
"1163",6,81.7207
"1164",1,99.7783
"1165",4,89.3138
"1166",6,92.1902
"1167",3,96.1308
"1168",5,91.376
"1169",3,99.3178
"1170",5,97.8401
"1171",5,99.1668
"1172",4,97.6934
"1173",2,82.3005
"1174",4,99.5001
"1175",3,99.486
"1176",5,96.5012
"1177",5,99.3339
"1178",3,100
"1179",3,93.7533
"1180",1,99.7783
"1181",1,99.5565
"1182",4,99.8335
"1183",3,100
"1184",5,99.6667
"1185",4,83.04
"1186",5,99.0006
"1187",6,82.5652
"1188",6,77.8989
"1189",6,84.6325
"1190",4,78.5387
"1191",4,94.2351
"1192",1,99.5565
"1193",1,96.7801
"1194",1,99.5565
"1195",2,90.2344
"1196",2,77.3871
"1197",2,92.924
"1198",2,84.9889
"1199",2,84.3881
"1200",3,89.2116
"1201",6,69.5345
"1202",1,99.3377
"1203",3,66.1347
"1204",4,99.8335
"1205",3,89.4865
"1206",3,96.1567
"1207",5,99.3355
"1208",1,96.5452
"1209",4,79.0075
"1210",2,95.5067
"1211",4,75.3491
"1212",4,99.4387
"1213",3,93.505
"1214",6,86.6227
"1215",6,99.3174
"1216",3,100
"1217",6,100
"1218",6,100
"1219",2,80.0222
"1220",6,75.0571
"1221",3,94.8853
"1222",5,99.3339
"1223",6,86.2456
"1224",2,96.4269
"1225",2,99.4681
"1226",2,98.9247
"1227",1,72.662
"1228",4,70.9751
"1229",1,93.2258
"1230",2,70.5383
"1231",4,96.4905
"1232",6,92.1024
"1233",6,90.6916
"1234",3,92.1024
"1235",3,100
"1236",2,87.1989
"1237",2,100
"1238",2,100
"1239",1,92.6059
"1240",6,97.9567
"1241",4,99.6262
"1242",4,98.3358
"1243",3,82.8319
"1244",3,89.322
"1245",3,92.7786
"1246",6,97.4404
"1247",5,99.5012
"1248",3,98.9784
"1249",6,100
"1250",5,99.1668
"1251",5,99.8335
"1252",3,81.5258
"1253",6,72.718
